name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions,any_precautions,earliest,days,reviews_per_day,7/19/2021,7/20/2021,2021-07-21,2021-07-22,2021-07-23,avg_bookings
Osteria 106,https://www.opentable.com/r/osteria-106-new-york-2,1,False,1,400,4.8,4.8,4.7,4.7,4.6,Moderate,98.0,Upper West Side,Italian,Casual Elegant,Smart Casual,,"Beer, Corkage Fee, Delivery, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Italian,0,0,0,0,False,0,False,10/11/2018,1018.0,0.3929273084479371,9.0,11.0,19.0,,,13.0
The Wilson,https://www.opentable.com/r/the-wilson-new-york,1,False,1,101,4.5,4.5,4.4,4.6,4.0,Moderate,50.0,NoMad,Unspecified,Casual Elegant,Smart Casual,Adrienne Guttieri- IGC Hospitality,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Unspecified,1,1,1,1,False,4,True,10/26/2018,1003.0,0.1006979062811565,0.0,0.0,4.0,4.0,5.0,2.6
Kahlo NYC,https://www.opentable.com/r/kahlo-nyc-new-york,1,False,2,264,4.8,4.7,4.8,4.7,4.5,Moderate,89.0,Chelsea,Mexican,Casual Dining,Business Casual,,"Corkage Fee, Delivery, Full Bar, Happy Hour, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access",Mexican,1,1,1,1,False,4,True,10/14/2018,1015.0,0.2600985221674877,12.0,12.0,29.0,31.0,25.0,21.8
Brooklyn Chop House,https://www.opentable.com/r/brooklyn-chop-house-new-york,1,False,2,1492,4.5,4.5,4.4,4.5,4.2,Moderate,88.0,Financial District,"Steakhouse, Chinese (Beijing)",Fine Dining,Casual Dress,Chef Skinny Mei ,"Banquet, Bar/Lounge, Beer, Cafe, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Delivery, Entertainment, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Steakhouse,1,1,1,1,False,4,True,10/1/2018,1028.0,1.45136186770428,139.0,153.0,131.0,,,141.0
Zia Maria Little Italy,https://www.opentable.com/r/zia-maria-little-italy-new-york,1,False,1,59,4.5,4.5,4.3,4.3,4.1,Moderate,100.0,Little Italy,"Italian, Mediterranean, Contemporary Italian",Casual Dining,Casual Dress,chef john ,"Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Dancing, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,10/13/2018,1016.0,0.0580708661417322,2.0,5.0,4.0,3.0,6.0,4.0
Bluebird London NYC,https://www.opentable.com/r/bluebird-london-restaurant-new-york,1,False,2,219,4.3,4.2,4.4,4.5,4.0,Moderate,71.0,Columbus Circle,"British, American",Casual Elegant,Smart Casual,Christian Fischhuber ,"Bar/Lounge, Beer, Cafe, Cocktails, Counter Seating, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, High Tea, Late Night, Non-Smoking, Private Room, View, Weekend Brunch, Wheelchair Access, Wine",British,1,1,1,1,False,4,True,10/5/2018,1024.0,0.2138671875,31.0,36.0,31.0,27.0,,31.25
Castell Rooftop Lounge,https://www.opentable.com/r/castell-rooftop-lounge-new-york,1,False,2,225,4.4,4.1,4.3,4.6,4.0,Moderate,89.0,Midtown West,Bar / Lounge / Bottle Service,Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Fireplace, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, View, Wine",Bar / Lounge / Bottle Service,1,0,0,0,False,1,True,4/13/2019,834.0,0.2697841726618705,87.0,93.0,62.0,,,80.66666666666667
The Terrace at EDITION and Outdoor Gardens,https://www.opentable.com/r/the-terrace-at-the-edition-and-outdoor-gardens-new-york,1,False,2,431,4.9,4.7,4.7,4.9,4.4,Quiet,100.0,Theater District / Times Square,American,Casual Elegant,Smart Casual,John Fraser,"Banquet, Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,False,0,False,2/22/2019,884.0,0.4875565610859728,31.0,48.0,49.0,46.0,45.0,43.8
Sushi Ryusei,https://www.opentable.com/r/sushi-ryusei-new-york,1,False,3,176,4.9,4.8,4.7,4.6,4.5,Quiet,100.0,Murray Hill,"Sushi, Japanese, Fish",Fine Dining,Business Casual,Masato Oyama,"Beer, Corkage Fee, Delivery, Gender Neutral Restroom, Kosher, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Sushi,1,1,1,1,False,4,True,9/7/2018,1052.0,0.1673003802281368,12.0,7.0,16.0,12.0,15.0,12.4
Sall Restaurant & Lounge,https://www.opentable.com/r/sall-restaurant-and-lounge-new-york,1,False,1,51,2.9,2.9,2.9,2.9,2.8,Energetic,50.0,Hell's Kitchen,"Seafood, Bar / Lounge / Bottle Service, American",Casual Dining,Casual Dress,Carlos,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Seafood,0,0,0,0,False,0,False,8/25/2018,1065.0,0.0478873239436619,3.0,4.0,1.0,2.0,2.0,2.5
Oak Tuscan Truffle Lounge,https://www.opentable.com/r/oak-tuscan-truffle-lounge-new-york,1,False,2,132,4.7,4.6,4.8,4.9,4.4,Quiet,100.0,West Village,Italian,Casual Elegant,Casual Dress,Rudy Accornero,"Beer, Corkage Fee, Delivery, Takeout, Wine",Italian,0,0,0,0,False,0,False,8/4/2018,1086.0,0.1215469613259668,2.0,3.0,3.0,4.0,,3.0
BP Grille,https://www.opentable.com/r/bp-grille-new-york,1,False,1,0,,,,,,Moderate,,Battery Park,"American, Grill, Burgers",Casual Dining,Business Casual,,"Banquet, Bar Dining, Beer, Delivery, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Wheelchair Access, Wi-Fi available, Wine",American,0,0,0,0,False,0,False,,,0.0,0.0,0.0,0.0,,,0.0
Cardoncello diVino,https://www.opentable.com/r/cardoncello-divino-new-york,1,False,2,317,4.9,5.0,4.9,4.9,4.8,Moderate,95.0,NoMad,Italian,Casual Dining,Casual Dress,Gianni  Palazzo,"Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Private Room, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,7/27/2018,1094.0,0.2897623400365631,0.0,3.0,7.0,16.0,14.0,8.0
Barnea Bistro,https://www.opentable.com/r/barnea-bistro-new-york,1,False,3,355,4.7,4.7,4.7,4.7,4.3,Moderate,95.0,Midtown East,"Kosher, Contemporary French",Fine Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Kosher, Non-Smoking, Patio/Outdoor Dining, Private Room, Wheelchair Access, Wine",Kosher,0,0,0,0,False,0,False,7/16/2018,1105.0,0.3212669683257919,,45.0,33.0,,,39.0
Angeletto Restaurant,https://www.opentable.com/r/angeletto-restaurant-new-york,1,False,2,185,4.7,4.7,4.7,4.8,4.6,Moderate,100.0,Midtown East,Italian,Casual Dining,Business Casual,Davide Shyti,"Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,7/12/2018,1109.0,0.1668169522091974,5.0,7.0,8.0,10.0,3.0,6.6
Haswell Green's,https://www.opentable.com/r/haswell-greens-new-york,1,False,1,201,4.8,4.6,4.7,4.8,4.7,Moderate,100.0,Theater District / Times Square,"American, Gastro Pub, Bar / Lounge / Bottle Service",Casual Dining,Business Casual,Luis Lozada,"Bar/Lounge, Beer, Cocktails, Dancing, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,False,4,True,6/29/2018,1122.0,0.1791443850267379,15.0,7.0,15.0,16.0,21.0,14.8
Saar Indian Bistro,https://www.opentable.com/r/saar-indian-bistro-new-york,1,False,2,235,4.5,4.7,4.6,4.1,4.2,Moderate,100.0,Theater District / Times Square,Indian,Casual Dining,Casual Dress,Hemant Mathur & Surbhi Sahni,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Takeout, Wheelchair Access, Wine",Indian,0,0,0,0,False,0,False,6/1/2018,1150.0,0.2043478260869565,4.0,13.0,12.0,13.0,7.0,9.8
Bua Thai Ramen & Robata Grill,https://www.opentable.com/r/bua-thai-ramen-and-robata-grill-new-york,1,False,1,81,4.6,4.6,4.3,4.4,4.4,Moderate,80.0,Upper East Side,"Unspecified, Thai",Casual Dining,Casual Dress,,"Beer, Cocktails, Full Bar, Gluten-free Menu, Wine",Unspecified,0,0,0,0,False,0,False,7/6/2018,1115.0,0.0726457399103139,13.0,26.0,11.0,,,16.666666666666668
The Leroy House,https://www.opentable.com/r/the-leroy-house-new-york,1,False,2,380,4.7,4.6,4.6,4.7,4.3,Moderate,94.0,West Village,American,Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cafe, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",American,1,0,0,1,False,2,True,6/5/2018,1146.0,0.331588132635253,67.0,87.0,73.0,60.0,72.0,71.8
Scampi,https://www.opentable.com/r/scampi-new-york,1,False,2,196,4.7,4.6,4.6,4.6,4.3,Moderate,100.0,Gramercy / Flatiron,"Italian, Farm-to-table",Casual Elegant,Smart Casual,PJ Calapa,"Bar/Lounge, Beer, Chef's Table, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,6/2/2018,1149.0,0.1705831157528285,3.0,4.0,6.0,4.0,7.0,4.8
The Harrow,https://www.opentable.com/r/the-harrow-new-york,1,False,2,205,4.7,4.6,4.8,4.8,4.5,Moderate,100.0,Hell's Kitchen,"American, Mediterranean, Contemporary American",Casual Elegant,Smart Casual,,"Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,False,4,True,2/16/2019,890.0,0.2303370786516854,1.0,5.0,10.0,9.0,11.0,7.300000000000001
Javelina - UES,https://www.opentable.com/r/javelina-ues-new-york,1,False,2,81,4.6,4.5,4.3,4.2,4.3,Moderate,73.0,Upper East Side,"Tex-Mex, Mexican, Southwest",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Tex-Mex,1,1,1,1,False,4,True,7/15/2018,1106.0,0.0732368896925858,11.0,12.0,7.0,8.0,15.0,10.7
Gu Japanese Fusion Sushi and Bar,https://www.opentable.com/r/gu-japanese-fusion-sushi-and-bar-new-york,1,False,1,149,4.6,4.5,4.7,4.4,4.6,Quiet,100.0,Midtown East,"Japanese, Sushi, Asian",Casual Dining,Casual Dress,,"Beer, Cocktails, Delivery, Gluten-free Menu, Happy Hour, Outdoor dining, Outdoor Smoking Area, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1,False,4,True,6/6/2018,1145.0,0.1301310043668122,7.0,6.0,8.0,12.0,19.0,10.4
Sabai Thai,https://www.opentable.com/r/sabai-thai-new-york,1,False,1,322,4.7,4.7,4.7,4.7,4.4,Quiet,100.0,NoMad,Thai,Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Thai,1,1,1,1,False,4,True,4/4/2018,1208.0,0.2665562913907284,5.0,4.0,9.0,11.0,15.0,9.100000000000001
Wagamama (Nomad - 5th Avenue),https://www.opentable.com/r/wagamama-nomad-new-york,1,False,1,427,4.5,4.5,4.5,4.5,4.4,Moderate,100.0,Gramercy / Flatiron,Asian,Casual Dining,Casual Dress,Steven Mangelshot,"Beer, Cocktails, Wine",Asian,1,1,1,1,False,4,True,3/31/2018,1212.0,0.3523102310231023,15.0,17.0,20.0,19.0,21.0,18.2
P.J. Clarke's - Third Avenue,https://www.opentable.com/r/pj-clarkes-third-avenue-new-york,1,False,1,671,4.7,4.6,4.6,4.5,4.3,Moderate,100.0,Midtown East,"American, Burgers, Oyster Bar",Casual Dining,Business Casual,Timothy Walker,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Takeout, Wheelchair Access, Wine",American,0,0,0,0,False,0,False,4/1/2018,1211.0,0.5540875309661437,22.0,34.0,54.0,34.0,32.0,35.900000000000006
Fashion Bar & Restaurant,https://www.opentable.com/r/fashion-bar-and-restaurant-new-york-1,1,False,2,31,4.7,4.5,4.7,4.9,4.7,Moderate,100.0,Theater District / Times Square,"Cocktail Bar, Global, International",Casual Dining,Casual Dress,Chef Randy,"Bar/Lounge, Beer, Cocktails, Counter Seating, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Weekend Brunch, Wheelchair Access, Wine",Cocktail Bar,1,1,1,1,False,4,True,3/5/2018,1238.0,0.0250403877221324,1.0,1.0,1.0,2.0,2.0,1.4
Angelo's Pizza,https://www.opentable.com/r/angelos-pizza-new-york,1,False,1,226,4.3,4.4,4.2,4.1,4.1,Moderate,,Hell's Kitchen,"Pizzeria, Italian, Pizza Bar",Casual Dining,Casual Dress,Chef Andreas ,"Beer, BYO Liquor, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Pizzeria,1,0,1,1,False,3,True,3/4/2018,1239.0,0.1824051654560129,8.0,13.0,8.0,5.0,5.0,7.8
La Goulue New York,https://www.opentable.com/r/la-goulue-new-york-2,1,False,3,930,4.7,4.7,4.5,4.6,4.2,Moderate,94.0,Upper East Side,French,Casual Dining,Business Casual,Antoine Camin,"Beer, Cafe, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",French,1,1,1,1,False,4,True,3/4/2018,1239.0,0.7506053268765133,56.0,49.0,49.0,48.0,44.0,48.0
St. Tropez Wine Bar,https://www.opentable.com/r/st-tropez-wine-bar-new-york,1,False,2,72,4.7,4.7,4.7,4.6,4.5,Moderate,,West Village,"French, Wine Bar, Tapas / Small Plates",Casual Elegant,Smart Casual,Gerald Barthelemy,"Bar/Lounge, Beer, BYO Liquor, BYO Wine, Cocktails, Corkage Fee, Counter Seating, Delivery, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Takeout, Weekend Brunch, Wine",French,0,0,0,0,False,0,False,2/23/2019,883.0,0.0815402038505096,25.0,12.0,21.0,,19.0,18.125
Boucherie - Union Square,https://www.opentable.com/r/boucherie-union-square-new-york,1,False,2,1231,4.5,4.4,4.3,4.5,4.0,Moderate,84.0,Gramercy / Flatiron,"French, Steakhouse",Casual Elegant,Business Casual,,"Banquet, Bar/Lounge, Beer, Cafe, Cocktails, Counter Seating, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",French,1,0,0,1,False,2,True,2/14/2018,1257.0,0.979315831344471,102.0,104.0,78.0,94.0,125.0,98.3
Imli urban indian food,https://www.opentable.com/r/imli-urban-indian-food-new-york,1,False,1,57,4.5,4.5,4.3,4.2,4.3,Quiet,94.0,Upper East Side,Indian,Casual Dining,Casual Dress,Haresh kumar,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Indian,0,0,1,1,False,2,True,1/16/2018,1286.0,0.0443234836702954,3.0,0.0,3.0,1.0,,1.5
THE MEATBALL SHOP - HELL'S KITCHEN,https://www.opentable.com/r/the-meatball-shop-hells-kitchen-new-york,1,False,1,202,4.8,4.7,4.8,4.6,4.6,Moderate,96.0,Hell's Kitchen,"American, Italian",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,0,0,1,False,2,True,4/14/2019,833.0,0.2424969987995198,19.0,30.0,17.0,25.0,29.0,24.1
La Sirene UWS,https://www.opentable.com/r/la-sirene-uws-new-york,1,False,2,670,4.5,4.5,4.5,4.4,4.2,Moderate,91.0,Upper West Side,French,Casual Dining,Casual Dress,Didier Pawlicki,"Banquet, Beer, Cocktails, Full Bar, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",French,1,1,1,1,False,4,True,12/31/2017,1302.0,0.5145929339477726,60.0,60.0,37.0,45.0,39.0,46.6
Tuscany Steakhouse,https://www.opentable.com/r/tuscany-steak-house-new-york,1,False,3,350,4.8,4.8,4.8,4.4,4.3,Quiet,100.0,Midtown West,"Steakhouse, Italian",Casual Dining,Business Casual,,,Steakhouse,1,1,1,1,False,4,True,1/10/2018,1292.0,0.2708978328173375,12.0,14.0,11.0,8.0,7.0,9.4
Shaking Crab - Upper West Side,https://www.opentable.com/r/shaking-crab-upper-west-side-new-york,1,False,1,320,4.5,4.5,4.5,4.3,4.3,Moderate,100.0,Upper West Side,"Cajun, Creole / Cajun / Southern, Shellfish",Casual Dining,Smart Casual,,"Bar Dining, Beer, Cocktails, Full Bar, Happy Hour, Non-Smoking, Wine",Cajun,0,0,0,0,False,0,False,12/31/2017,1302.0,0.2457757296466974,9.0,6.0,9.0,,,9.166666666666668
Siena Cafe,https://www.opentable.com/r/siena-cafe-new-york,1,False,2,268,4.4,4.3,4.2,4.3,4.2,Moderate,100.0,Upper East Side,"Italian, Tapas / Small Plates, Contemporary Italian",Casual Elegant,Smart Casual,Danilo Giovanni - Giovanni Family ,"Bar/Lounge, Beer, BYO Wine, Cafe, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,False,0,False,12/19/2017,1314.0,0.2039573820395738,9.0,8.0,12.0,,,11.0
BAAR BAAR,https://www.opentable.com/r/baar-baar-new-york,1,False,2,526,4.5,4.6,4.3,4.5,4.2,Moderate,85.0,East Village,Contemporary Indian,Casual Dining,Business Casual,Sujan Sarkar,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Dancing, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Contemporary Indian,0,0,0,0,False,0,False,12/5/2017,1328.0,0.3960843373493976,39.0,86.0,52.0,47.0,62.0,57.400000000000006
Thai72,https://www.opentable.com/r/thai72-new-york,1,False,1,298,4.6,4.6,4.5,4.3,4.5,Quiet,100.0,Upper West Side,Thai,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Takeout, Wheelchair Access, Wine",Thai,0,0,0,0,False,0,False,12/1/2017,1332.0,0.2237237237237237,8.0,7.0,23.0,12.0,7.0,11.4
Butcher and Banker NYC,https://www.opentable.com/r/butcher-and-banker-new-york,1,False,2,727,4.6,4.6,4.7,4.6,4.3,Moderate,100.0,Midtown West,"Steakhouse, American, Steak",Casual Elegant,Business Casual,,,Steakhouse,1,1,1,1,False,4,True,11/14/2017,1349.0,0.5389177168272795,8.0,8.0,23.0,15.0,21.0,15.0
Serafina 105,https://www.opentable.com/r/serafina-105-new-york,1,False,1,209,4.4,4.4,4.2,4.4,4.1,Moderate,86.0,Upper West Side,"Italian, Pizzeria, Contemporary Italian",Casual Dining,Casual Dress,,"Beer, BYO Wine, Cafe, Cocktails, Corkage Fee, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,False,0,False,11/10/2017,1353.0,0.1544715447154471,16.0,16.0,15.0,,,16.0
Renaissance Harlem,https://www.opentable.com/r/renaissance-harlem-new-york,1,False,1,187,4.7,4.9,4.7,4.8,4.6,Moderate,100.0,Harlem,American,Casual Dining,Casual Dress,Chef Ali,"Bar Dining, Bar/Lounge, Happy Hour, Late Night, Outdoor dining, View, Weekend Brunch",American,0,0,0,0,False,0,False,11/3/2017,1360.0,0.1375,8.0,5.0,5.0,,,5.5
Seamore's - Chelsea,https://www.opentable.com/r/seamores-chelsea-new-york,1,False,2,360,4.7,4.6,4.5,4.4,4.3,Moderate,94.0,Chelsea,Seafood,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Seafood,1,1,1,1,False,4,True,4/24/2019,823.0,0.4374240583232078,71.0,74.0,43.0,55.0,69.0,61.0
Celon Bar and Lounge,https://www.opentable.com/r/celon-bar-and-lounge-new-york,1,False,2,15,4.3,3.7,4.1,4.4,3.8,Moderate,76.0,Midtown East,"Bar / Lounge / Bottle Service, Mediterranean",Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Wheelchair Access, Wine",Bar / Lounge / Bottle Service,1,1,1,1,False,4,True,11/17/2017,1346.0,0.0111441307578008,0.0,0.0,3.0,2.0,4.0,1.8
Wokuni,https://www.opentable.com/r/wokuni-new-york,1,False,2,626,4.7,4.7,4.6,4.7,4.4,Moderate,93.0,Murray Hill,Japanese,Casual Dining,Business Casual,,Takeout,Japanese,0,0,0,0,False,0,False,10/10/2017,1384.0,0.4523121387283237,50.0,50.0,48.0,49.0,44.0,46.2
IL Carino Restaurant,https://www.opentable.com/r/il-carino-restaurant-new-york,1,False,2,154,4.4,4.4,4.6,4.3,4.1,Moderate,100.0,Upper East Side,Italian,Elegant Dining,Business Casual,Chef Mario Cassinelli ,"Beer, Cocktails, Full Bar, Non-Smoking, Patio/Outdoor Dining, Wine",Italian,1,1,1,1,False,4,True,9/9/2017,1415.0,0.1088339222614841,1.0,,5.0,,,3.0
Island,https://www.opentable.com/r/island-new-york,1,False,2,491,4.4,4.3,4.3,4.3,4.1,Moderate,89.0,Upper East Side,American,Casual Elegant,Smart Casual,,"Banquet, Bar/Lounge, Cocktails, Delivery, Fireplace, Full Bar, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,0,1,False,3,True,8/23/2017,1432.0,0.342877094972067,28.0,,23.0,,,25.5
Serafina Tribeca,https://www.opentable.com/r/serafina-tribeca-new-york,1,False,2,350,4.7,4.6,4.5,4.5,4.3,Moderate,98.0,TriBeCa - Downtown,"Italian, Pizzeria, Pizza Bar",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,7/22/2017,1464.0,0.2390710382513661,66.0,,65.0,79.0,72.0,70.5
L'Angolo - Tribeca,https://www.opentable.com/r/langolo-new-york,1,False,1,347,4.5,4.4,4.4,4.4,4.1,Moderate,79.0,TriBeCa - Downtown,Italian,Casual Elegant,Casual Dress,,"Bar Dining, Beer, Cocktails, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, View, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,False,0,False,8/5/2017,1450.0,0.2393103448275862,12.0,,18.0,17.0,20.0,16.75
Yama Ramen & Sushi,https://www.opentable.com/r/yama-ramen-and-sushi-new-york,1,False,1,145,4.3,4.4,4.3,4.0,4.5,Quiet,,Midtown West,"Sushi, Ramen, Japanese",Casual Dining,Casual Dress,,"Beer, Delivery, Gender Neutral Restroom, Happy Hour, Outdoor dining, Takeout, Wine",Sushi,1,1,1,1,False,4,True,6/24/2017,1492.0,0.0971849865951742,6.0,,22.0,14.0,12.0,13.5
aRoqa,https://www.opentable.com/r/aroqa-new-york-4,1,False,2,449,4.7,4.7,4.7,4.4,4.1,Moderate,94.0,Chelsea,Indian,Casual Dining,Business Casual,,"Bar Dining, Bar/Lounge, Counter Seating, Full Bar, Happy Hour, Late Night, Outdoor dining, Private Room, Wheelchair Access",Indian,0,0,0,0,False,0,False,6/9/2017,1507.0,0.2979429329794293,15.0,,11.0,21.0,20.0,16.75
Westville Wall Street,https://www.opentable.com/r/westville-wall-street-new-york,1,False,1,126,4.7,4.7,4.8,4.3,4.6,Quiet,89.0,Financial District,American,Casual Dining,Casual Dress,,"Bar Dining, Bar/Lounge, Beer, Cocktails, Counter Seating, Full Bar, Gluten-free Menu, Happy Hour, Outdoor dining, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,False,0,False,6/3/2017,1513.0,0.0832782551222736,17.0,,14.0,,,15.5
Serafina Osteria,https://www.opentable.com/r/serafina-osteria-new-york,1,False,1,4,3.9,4.0,3.8,3.8,3.6,Moderate,67.0,Midtown East,Italian,Casual Dining,Business Casual,,,Italian,0,0,0,0,False,0,False,3/27/2021,120.0,0.0333333333333333,0.0,,5.0,11.0,9.0,6.25
The Keg Room,https://www.opentable.com/r/the-keg-room-new-york,1,False,1,23,4.2,4.1,4.1,4.2,4.1,Moderate,83.0,Midtown West,"American, Irish",Casual Dining,Casual Dress,Jose Cortes,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",American,1,0,0,1,False,2,True,6/1/2019,785.0,0.0292993630573248,0.0,,3.0,1.0,2.0,1.5
